Accuracy,MAE,MSE,Runtime,algorithm,genCount,leaf_size,n_neighbors,p,stdApproach,stdMAE,stdMSE,stdRuntime,weights
0.9970164703561599,3.2470188080703344,55.5898702064437,296.3839674472809,kd_tree,78,70,4,3,0.0010670656127456215,0.22458349183127213,19.881833263078917,9.918798460778522,distance
0.997011868324589,3.9262661913333474,55.6756164091787,57.14735662937164,kd_tree,50,30,8,2,0.0007337488230207983,0.1981213813247937,13.671391507729552,8.254679442642507,uniform
0.9969516503489617,3.9286005923126943,56.79761278555897,94.04378144741058,ball_tree,114,70,8,2,0.000653163747183253,0.1913442801836564,12.16991022845511,4.538496113505159,uniform
0.9969516503489617,3.9286005923126943,56.79761278555897,92.2596581697464,ball_tree,114,70,8,2,0.000653163747183253,0.1913442801836564,12.16991022845511,4.023188187487227,uniform
0.9969516503489617,3.9286005923126943,56.79761278555897,91.99836189746857,ball_tree,114,70,8,2,0.000653163747183253,0.1913442801836564,12.16991022845511,3.2552872644276647,uniform
0.9969084402512832,3.823265458159716,57.60271412802918,410.3064093828201,kd_tree,50,30,8,3,0.0007731936823285604,0.22394671599813298,14.40633798756598,74.1840859517422,distance
0.9968775261807942,3.9916076236133193,58.17871281790029,58.56756010055542,kd_tree,50,70,15,2,0.0006180716610636614,0.219287717510017,11.51606570685334,11.387195430181272,distance
0.9968699618051982,3.7048932376129726,58.31965415509394,298.810866522789,kd_tree,78,50,7,3,0.0010309461499584261,0.23212552777238554,19.208846402562816,9.539104450745373,distance
0.9968689634242093,3.2565808195988906,58.33825623927591,325.4119024038315,kd_tree,50,30,3,4,0.0008088691693598998,0.18502583030502534,15.071052580806048,45.62263257859176,distance
0.9968449743943324,3.599459554877774,58.78522584120104,881.2056788444519,ball_tree,50,50,5,4,0.001020361320232839,0.22857449865505633,19.011627208908504,170.55676144418783,distance
0.9968383775204085,3.79849004444186,58.9081404453677,1790.050431919098,brute,50,10,5,3,0.0006413931677748537,0.19432047145450707,11.950597850274098,293.16732525911397,uniform
0.9968321973800076,3.829845401840488,59.02329036635132,1658.7926598787308,brute,78,30,8,3,0.0006292100638482474,0.20297748059622323,11.723599212135973,29.98386511814394,distance
0.9968218864679297,3.971570264868498,59.21540585791338,1799.6540765047073,brute,50,30,5,4,0.0005422312079141275,0.20493245987247866,10.102987423657847,289.90868535136246,uniform
0.9968010509808727,4.280684193448174,59.60361786163698,150.40301604270934,kd_tree,50,50,50,1,0.0006690657149452088,0.1985876934807413,12.466199667287864,18.222744535482494,distance
0.9967656196838135,4.179358161359188,60.26378264626269,4.341745662689209,brute,78,50,10,2,0.0004866500180017558,0.17968562960812096,9.067384797913379,0.33741767205156054,uniform
0.9967164584922232,3.2775094104871676,61.17976625827397,1640.0310205221176,brute,78,10,3,3,0.0007953060410031079,0.16008070399093544,14.818340982481045,29.50601447243089,uniform
0.9966611632362289,3.7700845294331238,62.210041291774175,344.53560268878937,kd_tree,50,50,6,4,0.0010956002968911915,0.23206543374131905,20.413498631750926,39.79301095351622,distance
